기사번호,문장번호,부모Claim번호,자식Claim번호,원문,지표,기사수치,단위,시점,계산방식,12개항목상태,의미표준,후보통계표,공식좌표,단계별결과,공식API조회여부,통계표검색시도,항목메타조회시도,기간메타조회시도,공식값조회성공,공식값,공표확인,공식값URL,공표URL,응답해시,공표해시,계산값,판정,최종상태,중단단계,중단사유,코드버전,자료버전,실행시각,작성기관보조경로,공식작성기관,공식문서상태,공식문서URL,공식문서조회시각,공식문서해시
A00041,5:multi:1,A00041_5,claim_b02dc8c186e9d718,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다.",평균 물가 상승폭,3.9,%,2024,GROWTH_RATE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,평균 물가 상승폭,,[],12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=중단(KOSIS_CATALOG_UNAVAILABLE) | 작성기관검색=통과 | 공식문서조회=중단(OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED),예,0,0,0,아니오,[],미확인,,,,,,UNDETERMINED,HOLD,공식문서조회,OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED,official-author-fallback-v1,official-author-profiles-v1,2026-08-24T06:28:07.899693+00:00,예,한국소비자원 참가격,UNRESOLVED,,2026-08-24T06:27:47.256637Z,
A00049,8:multi:1,A00049_8,claim_fd637f342e9da4dc,국토교통부는 우리 기업의 해외 건설 누적 수주액이 1조달러(약 1470조원)를 돌파했다고 3일 밝혔다.,해외 건설 누적 수주액,1000000000000.0,USD,2025-01-03,THRESHOLD,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,해외 건설 누적 수주액,,[],12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=중단(KOSIS_CATALOG_UNAVAILABLE) | 작성기관검색=통과 | 공식문서조회=중단(AS_OF_UNAVAILABLE),예,0,0,0,아니오,[1000000000000.0],미확인,,https://eiec.kdi.re.kr/policy/materialView.do?num=262131&pg=&pp=&topic=C,,bbc4a48f5da47da32dfcd79f21267fbe874fec36c0544b4e57b9247c8524f668,,UNDETERMINED,HOLD,공식문서조회,AS_OF_UNAVAILABLE,official-author-fallback-v1,official-author-profiles-v1,2026-08-24T06:28:07.899693+00:00,예,국토교통부,AS_OF_UNAVAILABLE,https://eiec.kdi.re.kr/policy/materialView.do?num=262131&pg=&pp=&topic=C,2026-08-24T06:27:58.100065Z,bbc4a48f5da47da32dfcd79f21267fbe874fec36c0544b4e57b9247c8524f668
A00103,6:multi:1,A00103_6,claim_e6dffbdf272f2269,"특히 라면(70.3%), 냉동김밥을 포함한 쌀 가공식품(51%) 등의 대미 수출이 크게 늘었다.",대미 라면 수출 증가율,70.3,%,2024,GROWTH_RATE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,대미 라면 수출 증가율,,[],12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=중단(KOSIS_CATALOG_UNAVAILABLE) | 작성기관검색=통과 | 공식문서조회=통과 | 계산=통과 | 판정=통과,예,0,0,0,아니오,[70.3],확인,,https://www.mafra.go.kr/home/5109/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGaG9tZSUyRjc5MiUyRjU3Mjg0OSUyRmFydGNsVmlldy5kbyUzRmJic0NsU2VxJTNEJTI2cmdzRW5kZGVTdHIlM0QlMjZiYnNPcGVuV3JkU2VxJTNEJTI2cGFzc3dvcmQlM0QlMjZzcmNoQ29sdW1uJTNEJTI2cGFnZSUzRDElMjZyZ3NCZ25kZVN0ciUzRCUyNnJvdyUzRDEwJTI2aXNWaWV3TWluZSUzRGZhbHNlJTI2c3JjaFdyZCUzRCUyNg%3D%3D,,e8abbf7038b1ed33727ea253747af3ce724cc71ac349f0c0cc51280bc6305907,70.3,MATCH,AUTO,,WITHIN_TOLERANCE,official-author-fallback-v1,official-author-profiles-v1,2026-08-24T06:28:07.899693+00:00,예,농림축산식품부,VERIFIED,https://www.mafra.go.kr/home/5109/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGaG9tZSUyRjc5MiUyRjU3Mjg0OSUyRmFydGNsVmlldy5kbyUzRmJic0NsU2VxJTNEJTI2cmdzRW5kZGVTdHIlM0QlMjZiYnNPcGVuV3JkU2VxJTNEJTI2cGFzc3dvcmQlM0QlMjZzcmNoQ29sdW1uJTNEJTI2cGFnZSUzRDElMjZyZ3NCZ25kZVN0ciUzRCUyNnJvdyUzRDEwJTI2aXNWaWV3TWluZSUzRGZhbHNlJTI2c3JjaFdyZCUzRCUyNg%3D%3D,2026-08-24T06:28:01.701859Z,e8abbf7038b1ed33727ea253747af3ce724cc71ac349f0c0cc51280bc6305907
A00186,9:multi:1,A00186_9,claim_f8ee8fb0f4b72433,"한편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다.",현대차·기아 전체 수출 대수,2180698.0,대,2024년,DIRECT_VALUE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,현대차·기아 전체 수출 대수,,[],12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=중단(KOSIS_CATALOG_UNAVAILABLE) | 작성기관검색=통과 | 공식문서조회=중단(OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED),예,0,0,0,아니오,[],미확인,,,,,,UNDETERMINED,HOLD,공식문서조회,OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED,official-author-fallback-v1,official-author-profiles-v1,2026-08-24T06:28:07.899693+00:00,예,현대자동차그룹,UNRESOLVED,,2026-08-24T06:28:03.373007Z,
A00288,19:multi:1,A00288_19,claim_af8b37939cc5d07e,"현대차·기아는 지난해 하이브리드차와 전기차 등 친환경차 수출이 70... 트럼프 '취임식 기금'에… 현대차, 100만달러 기부 현대차그룹이 도널드 트럼프 미 대통령 당선인의 취임식과 부대 행사를 지원하는 ‘취임식 기금’에 100만달러(약 14억7000만원)를 기부했다고 ... 이영관 기자 사람과 이야기가 지닌 힘을 믿습니다.",현대차그룹의 트럼프 미 대통령 당선인 취임식 및 부대 행사 지원 기금 기부액,1000000.0,달러,2025-01-23,DIRECT_VALUE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=NOT_APPLICABLE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,현대차그룹의 트럼프 미 대통령 당선인 취임식 및 부대 행사 지원 기금 기부액,,[],12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=중단(KOSIS_CATALOG_UNAVAILABLE) | 작성기관검색=통과 | 공식문서조회=중단(OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED),예,0,0,0,아니오,[],미확인,,,,,,UNDETERMINED,HOLD,공식문서조회,OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED,official-author-fallback-v1,official-author-profiles-v1,2026-08-24T06:28:07.899693+00:00,예,현대자동차그룹,UNRESOLVED,,2026-08-24T06:28:07.894693Z,
