Claim번호,기사번호,문장번호,기사일,원문,원래시점,원래주기,복구시점,복구주기,개선전상태,개선후상태,복구판정,복구사유
A00292_3,A00292,3,2025-01-23,작년 1~11월 누적 출생아 수는 22만94명으로 전년 동기 대비 3% 늘었다.,2024,Y,2024,Y,AUTO_OK,AUTO_OK,보류,MONTH_RANGE_NOT_SUPPORTED
A00292_6,A00292,6,2025-01-23,"통계청의 연간 통계는 아직 나오기 전이지만, 지난 3일 행정안전부의 주민등록 인구 통계에 따르면 작년 출생아 수는 24만2334명으로 9년 만에 처음으로 증가했다.",2024,Y,2024,Y,AUTO_OK,AUTO_OK,보류,CALCULATION_TYPE_NOT_SUPPORTED
A00736_1,A00736,1,2025-02-26,지난해 출생아 수가 전년 대비 3.6% 늘어나며 9년 만에 반등한 것으로 나타났다.,2024,Y,2024,Y,AUTO_OK,AUTO_OK,보류,YEAR_OVER_YEAR_NOT_SOURCE_GROUNDED
A01111_1,A01111,1,2025-03-27,올해 1월 출생아 수가 2만3947명으로 1년 전(2만1461명)보다 11.6% 늘었다고 통계청이 26일 밝혔다.,2025,Y,2025년 1월,월,AUTO_OK,AUTO_OK,공식조회대상,SOURCE_REPORTING_MONTH_RECOVERED
A01464_14,A01464,14,2025-04-23,2월 출생아 수는 2만35명으로 지난해 같은 달 대비 3.2% 늘었다.,2024,Y,2025년 2월,월,AUTO_OK,AUTO_OK,공식조회대상,SOURCE_REPORTING_MONTH_RECOVERED
A01924_10,A01924,10,2025-05-28,"3월 출생아 수만 놓고 봐도 2만1041명으로 전년 동월 대비 6.8% 늘었는데, 3월 기준으로 지난 1993년 3월(8.9%) 이후 32년 만에 최대 상승폭이다.",2025,Y,2025,Y,AUTO_OK,AUTO_OK,보류,CALCULATION_TYPE_NOT_SUPPORTED
A02293_4,A02293,4,2025-06-26,25일 통계청은 ‘4월 인구 동향’에서 4월 출생아 수가 2만717명으로 전년 같은 달보다 8.7% 증가했다고 밝혔다.,2025,Y,2025년 4월,월,AUTO_OK,AUTO_OK,공식조회대상,SOURCE_REPORTING_MONTH_RECOVERED
