실행구분,부모Claim번호,자식Claim번호,원문,지표,기사수치,단위,시점,주기,계산방식,구조화상태,공식조회진입,최종상태,중단사유,의미표준,후보통계표수,가까운후보탈락사유,공식좌표,공식값,최종판정,공식값URL,공표URL,응답해시,공표해시,실행단계
A02282_18,claim_fa0bb5df1f9daeb1,claim_fa0bb5df1f9daeb1,상대적으로 인구가 많은 1990년... 1월 출생아 11.6% 역대 최대폭 증가...'제2 에코붐' 90년대생 효과 올해 첫 달 출생아가 전년 동월 대비 11.6% 늘어나며 1월 기준 사상 최대 증가폭을 보였다.,출생아 수,11.6,%,2025년 1월,MONTHLY,GROWTH_RATE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,WITHIN_TOLERANCE,출생아 수,1,,"[{""canonical_key"": ""ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=월|PRD_DE=2025-01|DIMS=B:전국,A:출생아수(명)"", ""dimension_codes"": {""A"": ""10"", ""B"": ""00""}, ""dimension_members"": {""A"": ""출생아수(명)"", ""B"": ""전국""}, ""itm_id"": ""T1"", ""member_code"": ""전국"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2025-01"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1B8000G"", ""unit"": ""명""}, {""canonical_key"": ""ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=월|PRD_DE=2024-01|DIMS=B:전국,A:출생아수(명)"", ""dimension_codes"": {""A"": ""10"", ""B"": ""00""}, ""dimension_members"": {""A"": ""출생아수(명)"", ""B"": ""전국""}, ""itm_id"": ""T1"", ""member_code"": ""전국"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2024-01"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1B8000G"", ""unit"": ""명""}]",[11.6],MATCH,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=M&startPrdDe=202501&endPrdDe=202501&objL1=00&objL2=10 | https://www.kostat.go.kr/board.es?mid=a10301010000&bid=204&act=view&list_no=435709&tag=&nPage=1&ref_bid=,https://www.kostat.go.kr/board.es?mid=a10301010000&bid=204&act=view&list_no=435709&tag=&nPage=1&ref_bid=,a8c57bfdbd7d0fc7d96fa8750591c6fe48a1357d128b687ee345c15d9b3940de | bee11a6092c86935fc6ee729898357fe849917c57d59487b1ddf3138a931a2ad,e23bb94ba4d078096358bbdec0fb0acea0b7d3098d998b2d2ee6f6a87729cbbd | bee11a6092c86935fc6ee729898357fe849917c57d59487b1ddf3138a931a2ad,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
A00292_1,A00292_1,A00292_1,작년 11월 출생아 수가 2만95명으로 1년 전에 비해 14.6% 늘어났다고 통계청이 22일 밝혔다.,출생아 수,14.6,%,2024-11,M,GROWTH_RATE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,WITHIN_TOLERANCE,출생아 수,1,,"[{""canonical_key"": ""ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=월|PRD_DE=2024-11|DIMS=B:전국,A:출생아수(명)"", ""dimension_codes"": {""A"": ""10"", ""B"": ""00""}, ""dimension_members"": {""A"": ""출생아수(명)"", ""B"": ""전국""}, ""itm_id"": ""T1"", ""member_code"": ""전국"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2024-11"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1B8000G"", ""unit"": ""명""}, {""canonical_key"": ""ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=월|PRD_DE=2023-11|DIMS=B:전국,A:출생아수(명)"", ""dimension_codes"": {""A"": ""10"", ""B"": ""00""}, ""dimension_members"": {""A"": ""출생아수(명)"", ""B"": ""전국""}, ""itm_id"": ""T1"", ""member_code"": ""전국"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2023-11"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1B8000G"", ""unit"": ""명""}]",[14.6],MATCH,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=M&startPrdDe=202411&endPrdDe=202411&objL1=00&objL2=10 | https://www.kostat.go.kr/board.es?mid=a10301010000&bid=204&act=view&list_no=434867&tag=&nPage=1&ref_bid=,https://www.kostat.go.kr/board.es?mid=a10301010000&bid=204&act=view&list_no=434867&tag=&nPage=1&ref_bid=,3b31e41e42af81406a6978d57c2c37377a94c153d9d7838fe4eb25d01e0644c5 | 2cbd60d45ae241831b62c0f7763ddd2bc96d73c6e4914c321f4441184b3395d6,6c574cf5e61e4fc8184117f350a89043cf237da65c11b74b2f7d76c2a10b7b61 | 2cbd60d45ae241831b62c0f7763ddd2bc96d73c6e4914c321f4441184b3395d6,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
