claim_id,article_id,source_sentence,target_numeric_expression,before_calculation,after_calculation,comparison_type,direction,result,reason
claim_ab9a0dc2b2b44212,A00202,"◇청년층 강타한 고용 한파 건설업과 노인 일자리 사업을 중심으로 고용 한파가 닥치면서 임금 근로자 가운데 일용직(고용 계약 기간 1개월 미만)과 임시직(1개월 이상 1년 미만) 취업자 수가 각각 14만7000명, 1만9000명 감소했다.",1만9000명,DIRECT_VALUE,DIFFERENCE,YEAR_OVER_YEAR,DECREASE,RECLASSIFIED,SOURCE_GROUNDED_PERIOD_CHANGE_AMOUNT
claim_bbcc1e4c668b3946,A01285,"건설업 부진 장기화로 40대와 50대 취업자 수도 각각 4만9000명, 2만6000명 줄었다.",4만9000명,DIRECT_VALUE,DIFFERENCE,YEAR_OVER_YEAR,DECREASE,RECLASSIFIED,SOURCE_GROUNDED_PERIOD_CHANGE_AMOUNT
