기사번호,문장번호,부모Claim번호,자식Claim번호,원문,지표,기사수치,단위,시점,계산방식,12개항목상태,의미표준,후보통계표,공식좌표,단계별결과,공식API조회여부,통계표검색시도,항목메타조회시도,기간메타조회시도,공식값조회성공,공식값,공표확인,공식값URL,공표URL,응답해시,공표해시,계산값,판정,최종상태,중단단계,중단사유,코드버전,자료버전,실행시각
A02184,11:multi:1,A02184_11,claim_cad2a46b2ed3b674,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,실업률,5.5,%,2025년 1분기,DIRECT_VALUE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,실업률,DT_2WEO017 | DT_1DA7102S | DT_1DA7103S | DT_1DA7105S | DT_2UNS0080 | DT_1DA7104S | DT_1DA7107S | INH_1DA7104S | DT_1DA7001S | DT_1DA7002S | DT_1DA7003S | DT_1DA9001S | DT_38304_2013_N003 | DT_38304_2013_N006 | DT_1DA7012S | DT_1DA7103 | DT_1DA7105 | DT_2KAA335 | DT_2OEEO018 | DT_XNN0034 | DT_XNS0034 | INH_1ES3A01S | DT_1DA7004S | DT_2UNS0005 | DT_1YL20531E | DT_154021_22AA000100 | DT_1D07003S | DT_1DA7003 | DT_204011_2020_066 | DT_204011_A033 | DT_216012_2021C002 | DT_216012_2021C002_01 | DT_216012_2023C001 | DT_216012_C002 | DT_2IFS001 | DT_2STES038 | DT_2STES039 | DT_2STES040 | DT_38304_2013_N004 | DT_797004_2021D013 | DT_1ES3A01S,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7003S|ITM=T80|OBJ=H|MEMBER=고졸|PRD_SE=분기|PRD_DE=2025-Q1"", ""dimension_codes"": {""H"": ""30""}, ""dimension_members"": {""H"": ""고졸""}, ""itm_id"": ""T80"", ""member_code"": ""고졸"", ""obj_id"": ""H"", ""org_id"": ""101"", ""prd_de"": ""2025-Q1"", ""prd_se"": ""분기"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7003S"", ""unit"": ""%""}]",12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=통과 | 기본조건검사=통과 | 후보정밀비교=통과 | 공식좌표확정=통과 | 공식값조회=통과 | 계산=통과 | 판정=통과,예,4,41,41,예,[3.5],확인,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7003S&itmId=T80&prdSe=Q&startPrdDe=202501&endPrdDe=202501&objL1=30,https://www.kostat.go.kr/board.es?mid=a10301010000&bid=210&act=view&list_no=435969&tag=&nPage=1&ref_bid=,9e0029579f8b2c4dbcbce25e30f022baa7d489dfe7dff16e00ea133143f8dc1d,1489a148377c033e9aecdae19210bec35a7d6dcb3caad6a28202375e9c33d061,3.5,MISMATCH,AUTO,,OUTSIDE_TOLERANCE,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:29:29.367885+00:00
A02184,11:multi:2,A02184_11,claim_77fb7a40a6955f37,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,실업률,6.9,%,2025년 1분기,DIRECT_VALUE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,실업률,DT_2WEO017 | DT_1DA7102S | DT_1DA7103S | DT_1DA7105S | DT_2UNS0080 | DT_1DA7104S | DT_1DA7107S | INH_1DA7104S | DT_1DA7001S | DT_1DA7002S | DT_1DA7003S | DT_1DA9001S | DT_38304_2013_N003 | DT_38304_2013_N006 | DT_1DA7012S | DT_2KAA335 | DT_2OEEO018 | DT_XNN0034 | DT_XNS0034 | INH_1ES3A01S | DT_1DA7004S | DT_2UNS0005 | DT_1YL20531E | DT_2IFS001 | DT_2STES038 | DT_2STES039 | DT_2STES040 | DT_38304_2013_N004 | DT_1ES3A01S,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7003S|ITM=T80|OBJ=H|MEMBER=대졸이상|PRD_SE=분기|PRD_DE=2025-Q1"", ""dimension_codes"": {""H"": ""40""}, ""dimension_members"": {""H"": ""대졸이상""}, ""itm_id"": ""T80"", ""member_code"": ""대졸이상"", ""obj_id"": ""H"", ""org_id"": ""101"", ""prd_de"": ""2025-Q1"", ""prd_se"": ""분기"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7003S"", ""unit"": ""%""}]",12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=통과 | 기본조건검사=통과 | 후보정밀비교=통과 | 공식좌표확정=통과 | 공식값조회=통과 | 계산=통과 | 판정=통과,예,2,29,29,예,[2.9],확인,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7003S&itmId=T80&prdSe=Q&startPrdDe=202501&endPrdDe=202501&objL1=40,https://www.kostat.go.kr/board.es?mid=a10301010000&bid=210&act=view&list_no=435969&tag=&nPage=1&ref_bid=,b281065ea8ccd8445456f2ecbc60e5b89d0c5a6bb93944cd8c789b60b1f7f8f7,236d524b4f184bc546e701e7ea76c28fb4e699ccc0bb5ee3fe59682c95975ad8,2.9,MISMATCH,AUTO,,OUTSIDE_TOLERANCE,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:29:29.367885+00:00
A00202,17:multi:1,A00202_17,claim_ab9a0dc2b2b44212,"◇청년층 강타한 고용 한파 건설업과 노인 일자리 사업을 중심으로 고용 한파가 닥치면서 임금 근로자 가운데 일용직(고용 계약 기간 1개월 미만)과 임시직(1개월 이상 1년 미만) 취업자 수가 각각 14만7000명, 1만9000명 감소했다.",취업자 수,19000.0,명,2024년 12월,DIRECT_VALUE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,취업자 수,DT_1DA7001S | DT_1DA7002S | DT_1DA7003S | DT_1DA7010S | DT_1DA7011S | DT_1DA9001S | DT_1DA7012S | DT_1DA7024S | DT_1DA7028S | DT_1DA7029S | DT_1DE9072 | DT_1DE9076_8 | DT_1DA7004S | DT_1DE7119 | DT_1DA7030S | DT_1DA7032S | DT_1DA7035S | DT_1DA7036S | DT_1DE7009S | INH_1DA7030S | INH_1ES3A02S_04 | DT_111014_A007 | DT_111014_A014 | DT_111014_B014 | DT_113_STBL_1026906 | DT_113_STBL_1026924 | DT_113_STBL_1028381 | DT_113_STBL_1028403 | DT_113_STBL_1028452 | DT_113_STBL_1032344 | DT_113_STBL_1032785 | DT_115038_A006 | DT_118N_DEN064 | DT_118N_DEN068 | DT_118N_N022 | DT_118N_N024 | DT_118N_N025 | DT_154017_24CC001900 | DT_170002_E029 | DT_175001_012 | DT_182001_A088_2025 | DT_1DE7112_11 | DT_1ES3B27J | DT_1HDAAB07 | DT_1LC0013 | DT_2019_152_1TM1051XC | DT_212006_2018_AB008 | DT_212006_2018_AG001 | DT_212006_2018_BJ004 | DT_212006_2020_AB007 | DT_212006_2020_AB008 | DT_212006_2020_AI001 | DT_212006_2020_HA003 | DT_2FK003R | DT_2FK004R | DT_2KAA308 | DT_2OEEM2011 | DT_2OEEM2012 | DT_2OEEM2013 | DT_2OEEM3010 | DT_2OEEM3018 | DT_380002_A009A_6TH | DT_380002_A009B_6TH | DT_380002_A0121_7TH | DT_380002_A0225_7TH | DT_380002_A0451_7TH | DT_380002_A0511_7TH | DT_380002_A054_7TH | DT_380002_A060_7TH | DT_380002_A0659_7TH | DT_380002_A0681_7TH | DT_380002_A0732_7TH | DT_380002_A0913_7TH | DT_380002_A0982_7TH | DT_380002_B004A_6TH | DT_380002_B005_6TH | DT_380002_K003_6TH | DT_380002_L002_6TH | DT_383003_C03011 | DT_383003_C03013 | DT_383003_C03015 | DT_383003_C03022 | DT_383003_C03030 | DT_383003_C03043 | DT_383003_C03044 | DT_383003_C03058 | DT_383003_C03061 | DT_383003_C03063 | DT_383003_C03068 | DT_383003_C03077 | DT_383003_P077 | DT_38304_2013_N004 | DT_38304_2013_N006 | DT_38304_2013_N007 | DT_38304_2013_N012 | DT_38304_2013_N025 | DT_389002_C004 | DT_427001_A084 | DT_43701N_032 | DT_43701N_079 | DT_617004_029 | DT_617004_044 | DT_617004_052 | DT_617004_2022_008 | DT_640003_034 | DT_640003_2025A053 | DT_D24030_1 | DT_XNN0039 | DT_XNS0039 | INH_2OEEM2017 | INH_DT_1K52F01_23 | INH_DT_1K52F02_35 | DT_1YL20541 | DT_38304_2020_N030,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7010S|ITM=T30|OBJ=J|MEMBER=-임시근로자|PRD_SE=월|PRD_DE=2024-12"", ""dimension_codes"": {""J"": ""51""}, ""dimension_members"": {""J"": ""-임시근로자""}, ""itm_id"": ""T30"", ""member_code"": ""-임시근로자"", ""obj_id"": ""J"", ""org_id"": ""101"", ""prd_de"": ""2024-12"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7010S"", ""unit"": ""천명""}]",12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=통과 | 기본조건검사=통과 | 후보정밀비교=통과 | 공식좌표확정=통과 | 공식값조회=통과 | 계산=통과 | 판정=통과,예,5,66,66,예,[4376.3],확인,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7010S&itmId=T30&prdSe=M&startPrdDe=202412&endPrdDe=202412&objL1=51,https://www.kostat.go.kr/board.es?mid=a10301010000&bid=210&act=view&list_no=434801&tag=&nPage=1&ref_bid=,51476baa1da70658dccaf36794037a9bbcd188f309a39986437db27282762878,16b2b80f0b1d69a901ba3ce8db169d1e81bcd3b49d335af51662cba2eb6477a6,4376300.0,MISMATCH,AUTO,,OUTSIDE_TOLERANCE,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:29:29.367885+00:00
A01285,13:multi:1,A01285_13,claim_bbcc1e4c668b3946,"건설업 부진 장기화로 40대와 50대 취업자 수도 각각 4만9000명, 2만6000명 줄었다.",취업자 수,49000.0,명,2025년 3월,DIRECT_VALUE,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,취업자 수,DT_1DA7002S | DT_1DA9001S | DT_1DA7012S | DT_1DA7024S | DT_1DE9072 | DT_1DE9076_8 | DT_1DA7001S | DT_1DA7003S | DT_1DA7010S | DT_1DA7011S | DT_1DA7028S | DT_1DA7029S | DT_1DA7004S | DT_1DE7119 | DT_1DA7030S | DT_1DA7032S | DT_1DA7035S | DT_1DA7036S | DT_1DE7009S | INH_1DA7030S | INH_1ES3A02S_04 | DT_113_STBL_1026924 | DT_113_STBL_1026981 | DT_113_STBL_1027159 | DT_113_STBL_1028381 | DT_113_STBL_1028391 | DT_113_STBL_1028400 | DT_113_STBL_1028452 | DT_113_STBL_1029154 | DT_113_STBL_1029829 | DT_113_STBL_1032118 | DT_113_STBL_1032297 | DT_113_STBL_1032298 | DT_113_STBL_1032326 | DT_113_STBL_1032327 | DT_113_STBL_1032329 | DT_113_STBL_1032336 | DT_113_STBL_1032358 | DT_113_STBL_1032788 | DT_136022_9894 | DT_1DE7112_11 | DT_2019_152_1TM1051XC | DT_383003_C03013 | DT_383003_C03015 | DT_383003_C03044 | DT_383003_C03058 | DT_383003_C03063 | DT_383003_C03068 | DT_383003_C03077 | DT_38304_2013_N004 | DT_38304_2013_N006 | DT_38304_2013_N012 | DT_427001_A064 | DT_43701N_032 | DT_43701N_079 | DT_XNN0039 | INH_2OEEM2017 | DT_1YL20541 | DT_38304_2020_N030,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7002S|ITM=T30|OBJ=G|MEMBER=40 - 49세|PRD_SE=월|PRD_DE=2025-03"", ""dimension_codes"": {""G"": ""40""}, ""dimension_members"": {""G"": ""40 - 49세""}, ""itm_id"": ""T30"", ""member_code"": ""40 - 49세"", ""obj_id"": ""G"", ""org_id"": ""101"", ""prd_de"": ""2025-03"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7002S"", ""unit"": ""천명""}]",12개항목확인=통과 | 의미표준연결=통과 | 통계표검색=통과 | 기본조건검사=통과 | 후보정밀비교=통과 | 공식좌표확정=통과 | 공식값조회=통과 | 계산=통과 | 판정=통과,예,2,59,59,예,[6120.1],확인,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T30&prdSe=M&startPrdDe=202503&endPrdDe=202503&objL1=40,https://www.kostat.go.kr/board.es?mid=a10301010000&bid=210&act=view&list_no=435969&tag=&nPage=1&ref_bid=,927b11203d38a9dd99629d6d1cd47b15dc33a48f9336b7ff764e6d471179fc8a,e734f8b9e1182f787b69dd9400a397bc6bcef510dad117a4dabed840e8f5f6b1,6120100.0,MISMATCH,AUTO,,OUTSIDE_TOLERANCE,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:29:29.367885+00:00
