실행번호,Claim번호,대표문제,개선전상태,개선전단계,개선전사유,개선후상태,개선후단계,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식근거확인,공식통계표,공식값출처,코드버전,데이터버전,기록시각
hard_guard_employment_4_after,claim_ab9a0dc2b2b44212,HARD_GUARD,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,AUTO,VERDICT,OUTSIDE_TOLERANCE,RESOLVED,,,,예,DT_1DA7010S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7010S&itmId=T30&prdSe=M&startPrdDe=202412&endPrdDe=202412&objL1=51,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
hard_guard_employment_4_after,claim_bbcc1e4c668b3946,HARD_GUARD,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,AUTO,VERDICT,OUTSIDE_TOLERANCE,RESOLVED,,,,예,DT_1DA7002S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T30&prdSe=M&startPrdDe=202503&endPrdDe=202503&objL1=40,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
hard_guard_employment_4_after,claim_cad2a46b2ed3b674,HARD_GUARD,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,AUTO,VERDICT,OUTSIDE_TOLERANCE,RESOLVED,,,,예,DT_1DA7003S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7003S&itmId=T80&prdSe=Q&startPrdDe=202501&endPrdDe=202501&objL1=30,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
hard_guard_employment_4_after,claim_77fb7a40a6955f37,HARD_GUARD,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,AUTO,VERDICT,OUTSIDE_TOLERANCE,RESOLVED,,,,예,DT_1DA7003S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7003S&itmId=T80&prdSe=Q&startPrdDe=202501&endPrdDe=202501&objL1=40,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
