claim_id,article_id,source_sentence,target_numeric_expression,before_calculation,after_calculation,comparison_type,direction,result,reason,comparison_context_type,comparison_context_sentence_ids,comparison_context_sentences
claim_51187645801dea7d,A02096,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",37만명,DIRECT_VALUE,DIFFERENCE,YEAR_OVER_YEAR,INCREASE,RECLASSIFIED,SOURCE_GROUNDED_PERIOD_CHANGE_AMOUNT,YEAR_OVER_YEAR,3|5,"11일 통계청의 ‘2025년 5월 고용동향’에 따르면, 지난달 취업자는 2916만명으로 전년 동월 대비 24만5000명 증가했다.|하지만 전체 취업자의 15% 이상을 차지하는 취업자 수 1위 업종인 제조업 분야 취업자는 전년 동월 대비 6만7000명 줄어 작년 7월 이후 11달 연속 감소했다."
claim_60c76d3e7237ece9,A02096,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",13만2000명,DIRECT_VALUE,DIFFERENCE,YEAR_OVER_YEAR,INCREASE,RECLASSIFIED,SOURCE_GROUNDED_PERIOD_CHANGE_AMOUNT,YEAR_OVER_YEAR,3|5,"11일 통계청의 ‘2025년 5월 고용동향’에 따르면, 지난달 취업자는 2916만명으로 전년 동월 대비 24만5000명 증가했다.|하지만 전체 취업자의 15% 이상을 차지하는 취업자 수 1위 업종인 제조업 분야 취업자는 전년 동월 대비 6만7000명 줄어 작년 7월 이후 11달 연속 감소했다."
