기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00202,20:multi:1,claim_cc45f161cb09e889,claim_cc45f161cb09e889,인구 대비 취업자 수 비율을 뜻하는 고용률은 지난달 61.4%로 1년 전(61.7%)에 비해 0.3%포인트 떨어졌다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,28,28,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
A00579,13:multi:1,claim_7a4108c7b1224609,claim_7a4108c7b1224609,"지난달 15~29세 청년층 취업자 수는 전년 동월 대비 21만8000명 줄었는데, 고용률 기준으로도 44.8%에 그치며 전년 동월 대비 1.5%포인트 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,56,56,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
A00621,5:multi:1,claim_7b292cef4a1d724a,claim_7b292cef4a1d724a,하지만 ‘양질의 일자리’로 꼽히는 제조업 분야 취업자 수는 5만6000명 줄어든 439만6000명으로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,59,59,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
A00922,9:multi:1,claim_a53a99ef7f4c9e8e,claim_a53a99ef7f4c9e8e,청년 취업자는 355만7000명으로 1년 새 23만5000명 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,4,64,63,AUTO,VERDICT,WITHIN_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,WITHIN_TOLERANCE,,,,,,,,,0,,,
A02096,11:multi:1,claim_51187645801dea7d,claim_51187645801dea7d,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,8,64,63,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
A02111,6:multi:1,claim_0b480e92fd76dad9,claim_0b480e92fd76dad9,4월만 해도 690만6000명이었던 60세 이상 취업자는 지난달 704만9000명으로 처음으로 700만명을 넘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,59,59,AUTO,VERDICT,WITHIN_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,WITHIN_TOLERANCE,,,,,,,,,0,,,
A02558,5:multi:1,claim_dd7f9320985819d8,claim_dd7f9320985819d8,"16일 통계청이 발표한 ‘2025년 6월 고용동향’에 따르면, 지난달 15세 이상 취업자는 2909만1000명으로 전년 동월 대비 18만3000명 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,7,1,1,AUTO,VERDICT,WITHIN_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,WITHIN_TOLERANCE,,,,,,,,,0,,,
A02633,4:multi:1,claim_57a534979d0230db,claim_57a534979d0230db,17일 국가데이터처가 발표한 ‘9월 고용동향’에 따르면 지난달 15세 이상 취업자는 2915만4000명으로 전년 동월 대비 31만2000명 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,6,65,65,AUTO,VERDICT,WITHIN_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,WITHIN_TOLERANCE,,,,,,,,,0,,,
