기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00628,16:multi:1,claim_b320ebdd6a334269,claim_b320ebdd6a334269,10년 전과 비교하면 전체 취업자가 10.3% 늘어나는 동안 임금 근로자는 16.3% 증가했고 자영업자는 5.9% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,24,24,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,,,,,0,,,
A02096,11:multi:2,claim_60c76d3e7237ece9,claim_60c76d3e7237ece9,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,8,66,66,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,,,,,0,,,
