기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00588,16:multi:1,claim_bda51dfc0f4c325d,claim_bda51dfc0f4c325d,"청년(15~29세)층 취업자는 전년 동월 대비 21만8000명 줄었고, 청년 고용률(44.8%)도 1.5%포인트 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,55,55,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,,,,0,,,
A02184,9:multi:1,claim_ac024e3d51a1b24d,claim_ac024e3d51a1b24d,작년에도 대졸 실업률(5.8%)이 고졸(5.1%)을 웃돌았고 올 들어서도 이런 상황이 이어지고 있다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,41,41,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,,,,0,,,
