run_id,article_id,sentence_id,parent_claim_id,child_claim_id,source_sentence,before_parse_status,before_parse_reason,child_type,after_status,after_reason,official_table,history_period_range,requested_period_range,requested_period_count,observed_count,record_value,record_unit,record_periods,source_urls,response_hashes,official_api_verified,publication_evidence_scope,publication_reference_period,publication_coverage,value_last_changed_dates,official_trace_json,stage_results_json
record-comparison-008,A02558,7,A02558_7,claim_0c93419ba22b38f4,국제 비교 기준인 15~64세 고용률은 70.3%로 마찬가지로 6월 기준 역대 최대치를 보였다.,AUTO_OK,,DIRECT_VALUE,AUTO,WITHIN_TOLERANCE,101:DT_1DA7002S,,2025-06~2025-06,1,,,,,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T90&prdSe=M&startPrdDe=202506&endPrdDe=202506&objL1=63,851b8974f55a049c0967ff8da7125156fb5d641a6a30c238880327654839cd13,true,PERIOD,,,,"{""calculation_version"": ""1.0"", ""claim_id"": ""claim_0c93419ba22b38f4"", ""claim_schema_version"": ""1.0"", ""events"": [{""output_ref"": null, ""reason_code"": null, ""stage"": ""CLAIM_PARSE"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""SEMANTIC_MAPPING"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""CATALOG_SEARCH"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""HARD_GUARD"", ""status"": ""PASS""}, {""output_ref"": ""margin=0.15"", ""reason_code"": null, ""stage"": ""SEMANTIC_MATCH"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""EVIDENCE_CELL"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""OFFICIAL_VALUE_FETCH"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""CALCULATION"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""VERDICT"", ""status"": ""PASS""}], ""kosis_catalog_version"": ""1.0"", ""matching_version"": ""1.0"", ""preprocess_version"": ""1.0"", ""route_status"": ""AUTO"", ""semantic_standard_version"": ""1.0""}","[{""attempt"": 1, ""child_claim_id"": ""claim_0c93419ba22b38f4"", ""code_version"": ""admission-recovery-v3"", ""data_version"": ""claim-schema-v1"", ""finished_at"": ""2026-08-23T07:26:44.349229+00:00"", ""input_hash"": ""09237646768c8b8a08cc4e683dc12d97c7958701b54a710d74b9951d20fb9436"", ""output_ref"": ""claim_0c93419ba22b38f4"", ""parent_claim_id"": ""A02558_7"", ""reason_code"": null, ""stage"": ""CLAIM_SPLIT"", ""started_at"": ""2026-08-23T07:26:44.349229+00:00"", ""status"": ""PASS""}, {""attempt"": 1, ""child_claim_id"": ""claim_0c93419ba22b38f4"", ""code_version"": ""admission-recovery-v3"", ""data_version"": ""claim-schema-v1"", ""finished_at"": ""2026-08-23T07:26:44.349229+00:00"", ""input_hash"": ""09237646768c8b8a08cc4e683dc12d97c7958701b54a710d74b9951d20fb9436"", ""output_ref"": ""claim_0c93419ba22b38f4"", ""parent_claim_id"": ""A02558_7"", ""reason_code"": null, ""stage"": ""CLAIM_PARSE"", ""started_at"": ""2026-08-23T07:26:44.349229+00:00"", ""status"": ""PASS""}]"
record-comparison-008,A02558,7,A02558_7,claim_a34a57eb64036abb,국제 비교 기준인 15~64세 고용률은 70.3%로 마찬가지로 6월 기준 역대 최대치를 보였다.,AUTO_OK,,RECORD_HIGH,AUTO,RECORD_CONFIRMED,101:DT_1DA7002S,1999-06~2025-06,1999-06~2025-06,27,27,70.3,%,2025-06,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T90&prdSe=M&startPrdDe=199906&endPrdDe=202506&objL1=63,d5e2a5018f0817d1ec5543dbc58ff2ad1c36f07d5287e6fffb148c0b826ba7b3,true,CALCULATION_RANGE,2025-06,1999-06~2025-06,2009-03-18|2018-02-02|2017-07-19|2017-09-11|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-07-19|2017-11-09|2017-11-16|2018-01-10|2020-11-04|2020-11-04|2020-11-04|2021-07-01|2022-06-30|2023-06-29|2024-06-28|2025-07-03,"{""calculation_version"": ""1.0"", ""claim_id"": ""claim_a34a57eb64036abb"", ""claim_schema_version"": ""1.0"", ""events"": [{""output_ref"": null, ""reason_code"": null, ""stage"": ""CLAIM_PARSE"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""SEMANTIC_MAPPING"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""CATALOG_SEARCH"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""HARD_GUARD"", ""status"": ""PASS""}, {""output_ref"": ""margin=0.15"", ""reason_code"": null, ""stage"": ""SEMANTIC_MATCH"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""EVIDENCE_CELL"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""OFFICIAL_VALUE_FETCH"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""CALCULATION"", ""status"": ""PASS""}, {""output_ref"": null, ""reason_code"": null, ""stage"": ""VERDICT"", ""status"": ""PASS""}], ""kosis_catalog_version"": ""1.0"", ""matching_version"": ""1.0"", ""preprocess_version"": ""1.0"", ""route_status"": ""AUTO"", ""semantic_standard_version"": ""1.0""}","[{""attempt"": 1, ""child_claim_id"": ""claim_a34a57eb64036abb"", ""code_version"": ""admission-recovery-v3"", ""data_version"": ""claim-schema-v1"", ""finished_at"": ""2026-08-23T07:26:44.352227+00:00"", ""input_hash"": ""09237646768c8b8a08cc4e683dc12d97c7958701b54a710d74b9951d20fb9436"", ""output_ref"": ""claim_a34a57eb64036abb"", ""parent_claim_id"": ""A02558_7"", ""reason_code"": null, ""stage"": ""CLAIM_SPLIT"", ""started_at"": ""2026-08-23T07:26:44.352227+00:00"", ""status"": ""PASS""}, {""attempt"": 1, ""child_claim_id"": ""claim_a34a57eb64036abb"", ""code_version"": ""admission-recovery-v3"", ""data_version"": ""claim-schema-v1"", ""finished_at"": ""2026-08-23T07:26:44.352227+00:00"", ""input_hash"": ""09237646768c8b8a08cc4e683dc12d97c7958701b54a710d74b9951d20fb9436"", ""output_ref"": ""claim_a34a57eb64036abb"", ""parent_claim_id"": ""A02558_7"", ""reason_code"": null, ""stage"": ""CLAIM_PARSE"", ""started_at"": ""2026-08-23T07:26:44.352227+00:00"", ""status"": ""PASS""}]"
